x	y	angle	response
149.393	895.853	170.884	0.0244198
149.541	763.35	209.654	0.0244609
149.603	778.884	232.744	0.0166449
149.885	855.72	116.609	0.0384186
149.974	908.616	310.068	0.0210566
150.189	749.788	321.161	0.0248152
150.43	826.286	77.5962	0.0307605
150.56	829.104	77.6034	0.0278365
150.937	978.743	350.557	0.0306256
150.95	725.228	149.074	0.0214665
150.95	725.228	258.601	0.0214665
151.042	953.618	205.168	0.0256551
151.257	862.846	9.50793	0.0283987
151.257	862.846	187.312	0.0283987
151.681	877.467	346.059	0.0193251
151.971	930.926	179.583	0.0266356
152.042	891.538	353.623	0.0160628
152.076	197.778	62.1785	0.0154972
152.081	873	9.41617	0.0181299
152.459	718.164	319.228	0.0135537
152.486	935.617	188.811	0.0271922
152.577	205.731	59.4663	0.0348541
152.577	205.731	287.764	0.0348541
152.646	945.072	157.681	0.0276949
152.992	961.548	199.149	0.0330941
153.167	969.919	7.30231	0.0313953
153.255	857.73	24.4188	0.0188322
153.922	906.859	325.71	0.0222795
154.003	994.02	184.358	0.0159429
154.162	917.415	349.494	0.0369173
154.427	724.914	322.37	0.0249878
154.551	868.891	359.794	0.0235284
154.627	823.436	82.5553	0.0241365
154.773	948.439	59.03	0.0184727
154.799	864.105	2.44781	0.0236485
155.179	830.368	92.1179	0.0510327
155.546	884.151	0.825348	0.0208188
155.6	842.926	14.3113	0.0433067
155.793	930.905	181.343	0.0352336
155.984	939.376	187.144	0.037684
156.147	1109.79	0.252075	0.0149173
156.21	911.083	334.164	0.0246711
156.284	877.552	9.67984	0.0200259
156.284	877.552	333.431	0.0200259
156.351	737.723	296.447	0.0197515
156.564	979.996	357.344	0.0425039
156.647	773.202	56.7352	0.0209485
156.647	773.202	242.827	0.0209485
156.712	857.921	72.6961	0.025298
156.958	784.742	142.228	0.0161676
157.191	724.635	325.591	0.0210749
157.52	956.646	199.096	0.0425255
157.52	956.646	281.219	0.0425255
157.625	870.064	357.534	0.0153149
158.568	945.104	78.5565	0.0392655
158.979	768.253	51.1868	0.0157921
159.249	950.932	230.502	0.0524646
159.489	993.326	186.813	0.0134381
159.749	916.913	153.034	0.0223235
160.537	85.7251	193.797	0.0249873
160.537	85.7251	337.78	0.0249873
160.898	1090.4	6.89346	0.0245055
160.998	1090.55	8.83167	0.0244236
161.025	1105.81	0.0662231	0.024952
161.201	976.685	189.377	0.0218881
161.259	884.25	189.396	0.0272802
161.687	863.716	179.764	0.0336837
161.806	851.288	85.2271	0.0338392
161.806	851.288	270.53	0.0338392
161.846	766.55	44.9453	0.0169431
161.931	988.211	188.026	0.0195736
161.931	988.211	230.033	0.0195736
162.225	732.503	291.005	0.0150659
162.267	1002.88	187.934	0.022607
162.419	769.805	49.0427	0.037088
162.419	769.805	235.838	0.037088
162.438	751.541	36.7054	0.0137429
162.438	751.541	264.595	0.0137429
162.892	957.183	227.642	0.0353375
164.015	1087.05	87.2198	0.0240749
164.015	1087.05	272.047	0.0240749
164.044	795.786	231.22	0.022653
164.14	220.016	4.29108	0.0144384
164.14	220.016	79.7719	0.0144384
164.156	546.019	60.0831	0.0244922
164.156	546.019	97.5708	0.0244922
164.156	546.019	266.81	0.0244922
164.181	778.41	238.546	0.0160873
164.438	980.562	174.182	0.0256838
164.512	944.676	8.7829	0.0364991
165.416	846.211	272.115	0.0357495
165.482	766.05	41.6546	0.0270247
165.482	766.05	230.034	0.0270247
166.247	673.103	12.0531	0.0165189
166.431	918.439	172.893	0.0230247
166.431	918.439	315.628	0.0230247
166.722	830.807	95.6918	0.0653106
166.8	957.702	355.913	0.0196396
167.196	1096.74	6.15967	0.0229345
167.477	965.197	295.118	0.0175922
167.477	965.197	337.129	0.0175922
168.857	836.244	254.128	0.0323312
169.38	943.959	7.67236	0.0302176
169.393	32.6793	186.684	0.0273901
169.408	745.657	209.97	0.0138155
169.427	760.048	104.617	0.0212499
169.468	836.038	253.592	0.0321593
169.985	770.907	230.003	0.0195731
170.258	61.8412	44.1653	0.0187305
170.258	61.8412	330.808	0.0187305
170.608	548.7	354.672	0.0171477
170.955	826.148	11.6033	0.0292553
170.955	826.148	104.731	0.0292553
171.493	929.195	11.8458	0.0259674
171.599	798.844	5.99432	0.0236428
171.848	712.871	241.132	0.0150072
172.059	814.196	13.4436	0.0198238
172.139	709.557	207.143	0.0141304
172.139	709.557	254.747	0.0141304
172.139	709.557	329.068	0.0141304
172.291	721.646	178.835	0.0185538
172.423	814.563	11.4884	0.0201356
172.445	733.214	249.249	0.0139963
172.455	52.832	49.3525	0.0193203
172.49	1075.9	59.5958	0.0398074
172.49	1075.9	177.429	0.0398074
172.708	716.145	17.6776	0.0233556
173.359	950.169	271.952	0.015662
174.449	563.169	314.102	0.0253029
174.869	796.413	6.85205	0.0214293
175.864	789.196	6.3461	0.0238774
176.243	894.992	7.45438	0.0265011
176.279	763.987	1.59665	0.0159887
177.062	840.062	42.4928	0.0193428
177.102	884.126	8.27914	0.0280956
177.265	565.994	318.568	0.0252123
177.736	876.69	8.72046	0.0237744
178.246	939.366	200.321	0.0443902
178.281	697.749	215.614	0.0186464
178.967	773.509	9.20422	0.021093
179.228	870.679	9.32999	0.0252892
179.563	571.584	313.27	0.0209098
179.702	957.797	191.713	0.0267573
180.424	839.08	9.7142	0.0307832
180.48	762.773	8.96744	0.0225339
180.525	847.866	9.29559	0.0302727
180.802	1063.69	61.3227	0.0405683
181.089	858.147	13.6706	0.0321049
181.399	908.41	222.411	0.0280643
181.42	913.968	221.066	0.0202579
181.591	204.697	265.904	0.0183571
181.644	204.951	266.618	0.0186638
182.252	750.055	9.96515	0.0216125
182.392	850.923	272.743	0.0229339
182.535	956.453	195.253	0.0157814
182.814	746.481	8.37067	0.0240582
183.071	726.718	1.21609	0.0170735
183.635	785.089	357.119	0.0164893
183.68	1078.41	72.8987	0.048068
183.891	738.067	9.0072	0.0229352
184.291	734.681	8.97507	0.0243443
184.411	851.964	85.242	0.0239717
184.611	836.176	276.77	0.0332996
185.262	665.143	199.814	0.0225465
185.971	825.95	92.627	0.0271981
186.188	1071	76.73	0.0329692
187.714	786.175	4.79767	0.0338984
188.126	704.157	9.25876	0.0295252
188.178	846.832	80.1027	0.0309086
188.178	846.832	274.038	0.0309086
188.411	906.048	228.714	0.0184553
188.644	577.584	315.792	0.0243602
188.97	653.953	38.9345	0.020437
188.97	653.953	206.273	0.020437
189.141	790.115	270.381	0.0244453
189.152	917.919	219.159	0.0340778
189.51	782.288	185.904	0.0346432
189.615	660.447	14.0416	0.015689
189.62	648.637	4.62064	0.0174933
189.62	648.637	178.833	0.0174933
190.029	691.867	8.43076	0.0308345
190.724	791.485	281.889	0.0248891
190.895	807.506	191.448	0.0187512
191.01	792.209	279.413	0.024269
191.313	777.695	187.945	0.0272117
191.633	1016.46	179.58	0.0222667
191.696	155.922	34.2441	0.0371201
191.804	819.691	88.5639	0.0243981
191.869	147.512	357.394	0.0253443
192.051	164.662	23.248	0.0419891
192.387	147.535	358.66	0.0254639
192.884	178.801	5.47668	0.0748447
192.884	178.801	227.338	0.0748447
192.935	188.186	268.383	0.0220387
193.036	838.447	87.4656	0.0298872
193.113	846.816	89.5674	0.0299882
193.113	846.816	269.949	0.0299882
193.277	825.789	87.1242	0.0230454
193.289	663.57	7.31836	0.028225
193.834	803.538	14.1939	0.0267081
194.01	795.888	191.326	0.0246311
